id	result
5000001	{'施廷懋': 0, '王涵': 0}
5000002	{'阿尔弗雷德·诺贝尔': -2, '诺贝尔奖委员会': -2}
5000003	{'威少': 0, '约基奇': 0, '詹姆斯': 0, '霍华德': -2, '半场': -2}
5000004	{'刘祥坤': 0, '二龙湖': 0, '热度': -2}
5000005	{'小沈龙': 0, '粉丝': -2, '明星': -2}
5000006	{'剧集': 0}
5000007	{'美国': -2, '5G': -2}
5000008	{'陈亚男': 0, '朱小伟': -2}
5000009	{'日内瓦': -2, '世界贸易组织': -2}
5000010	{'九阴真经': 0, '王重阳': -2}
5000011	{'永佳河镇': -2, '罗某': -2}
5000012	{'曹桐睿': 0}
5000013	{'李阿姨': -2}
5000014	{'陆川': -2, '秦岚': -2}
5000015	{'法国': 0, '哈萨克斯坦': 0}
5000016	{'教育督导问责办法': -2, '制度': -2, '田祖荫': -2}
5000017	{'中国': -2, '美国': -2}
5000018	{'记者': -2}
5000019	{'刘浩存': -2}
5000020	{'陶虹': -2, '山东': -2}
5000021	{'高铁': -2, '合肥': -2}
5000022	{'张默': -1, '童瑶': -2, '张国立': -2}
5000023	{'王冰冰': 0, '撒贝宁': 0, '央视': -2}
5000024	{'A股': -2}
5000025	{'特伦特': 0, '湖人': -2, '猛龙': -2}
5000026	{'迈克尔乔丹': 0, '科比布莱恩特': 0, '魔术师约翰逊': 0, '库里': -2, '后卫': -2}
5000027	{'林燕梅': -2, '深圳': -2}
5000028	{'冯春生': -2}
5000029	{'玲珑轮胎': -2, '越南': -2, '玲珑': -2}
5000030	{'美国': -2, '鲍威尔': -2}
5000031	{'赵某某': -1}
5000032	{'文化': -2, '田义': -2}
5000033	{'学校': -2}
5000034	{'孙红雷': -2, '丁嘉丽': 0}
5000035	{'刘某某': -1, '王某某': -1, '窦某某': -1, '公安津南分局': -2, '津南区': -2}
5000036	{'医生': -2}
5000037	{'周健勇': -1, '周江勇': -2}
5000038	{'阿富汗': -2, '塔利班': -2}
5000039	{'得克萨斯州': -2, '美国国家飓风研究中心': -2}
5000040	{'陈亚男': -2}
5000041	{'中国': -2}
5000042	{'英国': -2, '部队': -2}
5000043	{'中国': -2, '台湾': -2}
5000044	{'学历': -2, '教育部': -2}
5000045	{'孟菲斯队': 0, '布鲁克林篮网队': 0, '篮板': -2}
5000046	{'证监会': -2, '老虎证券': -2}
5000047	{'哈里斯': 0, '拜登': -2, '民主党': -2}
5000048	{'张卫健': 0}
5000049	{'战略': -2, '毛泽东': -2}
5000050	{'副书记': -2, '委员': -2}
5000051	{'万先生': -2}
5000052	{'小区': -2}
5000053	{'搜狐': -2}
5000054	{'湖人': 0, '火箭': 0, '詹姆斯': 0, '马刺': 0, '比分': -2, '球队': -2}
5000055	{'火箭': 0, '客场': -2, '小波特': 0}
5000056	{'记者': -2}
5000057	{'郑金兰': -2, '潍坊市委': -2, '山东': -2}
5000058	{'李在镕': -1}
5000059	{'尚宇博': -2, '父母': -2}
5000060	{'中国': -2, '人民': -2}
5000061	{'张一山': -2, '杨紫': -2}
5000062	{'太空': -2, '马斯克': -2}
5000063	{'自民党': -2, '日本': -2}
5000064	{'王新房': 0}
5000065	{'管理层': -2, '沃格尔': -2}
5000066	{'李小明': -1, '山西省': -2, '山西省纪委监委': -2}
5000067	{'夏桀': 0}
5000068	{'美国': -2, '中国': -2}
5000069	{'理叔叔': -2}
5000070	{'王力宏': 0, '李靓蕾': -2, '歌手': -2}
5000071	{'张世': 0, '角色': -2, '演员': -2}
5000072	{'易思忛': -2, '周兆成': -2}
5000073	{'周锐': 0, '骆伽': 0, '输赢': 0}
5000074	{'美国': -2}
5000075	{'拜登': -2, '普京': -2}
5000076	{'荣盛时代': -2, '王丽': -2}
5000077	{'加拿大': -2, '不列颠哥伦比亚省': -2}
5000078	{'王岳伦': -1, '李湘': -2}
5000079	{'小张': -1, '小磊': -2, '太原': -2}
5000080	{'意见': -2}
5000081	{'腾讯': -2, 'IT之家': -2}
5000082	{'令妃': 0}
5000083	{'王某文': -2, '张某': -2, '记者': -2, '周某': -2}
5000084	{'河南': -2}
5000085	{'马晓伟': 0}
5000086	{'林婉柔': -2, '王忆如': -1}
5000087	{'西安市': -2, '春运': -2}
5000088	{'德约科维奇': 0, '决赛': -2, '梅德维德夫': 0}
5000089	{'未成年人': -2, '公安': -2}
5000090	{'杨锴': -2}
5000091	{'霍震寰': -2, '霍震霆': -2}
5000092	{'苏州': -2, '苏州市吴江区': -2}
5000093	{'舜杰路': -2, '舜杰路大通E家生鲜超市': -2}
5000094	{'郭婞淳': 0}
5000095	{'小口镇': -2}
5000096	{'湖人队': -1, '魔术师约翰逊': 0, '布朗': 0}
5000097	{'王力宏': -1, '李靓蕾': -2, '长文': -2}
5000098	{'福原爱': -2}
5000099	{'中国': -2, '美国': -2}
5000100	{'加拿大鹅': -2, '加拿大': -2, '羽绒服': -2}
5000101	{'周杰': 0, '娱乐圈': -2}
5000102	{'徐正': 0, '刘小捷': 0}
5000103	{'陈亚男': -2, '直播': -2, '朱小伟': -2}
5000104	{'塔利班': -2, '阿富汗': -2}
5000105	{'刘先生': -2, '小王': -2}
5000106	{'万柳园': -2}
5000107	{'零度极限': 0, '冬奥': -2}
5000108	{'日本': -2, '美国': -2}
5000109	{'骑士': 0, '马刺': 0}
5000110	{'省纪委': -2, '中共': -2}
5000111	{'杰恩·里维拉': 0}
5000112	{'凡凡': -2}
5000113	{'高萍': -1, '纪律': -2, '中央纪委国家监委驻国家税务总局纪检监察组': -2}
5000114	{'留村察看': 0, '沈丹萍': 0, '被爱情遗忘的角落': 0, 'miumiu': 0, '夜上海': 0, '乌伟': -2}
5000115	{'拜登': -2, '总统': -2}
5000116	{'朴槿惠': -2, '韩国': -2}
5000117	{'习近平': -2}
5000118	{'厦门': -2}
5000119	{'裴伟士': -2, '袁国勇': -2}
5000120	{'症状': -2, '南京市': -2}
5000121	{'徐安玲': -2}
5000122	{'马倩': -1, '张铭': -2, '知乎': -2}
5000123	{'张家界市': -2}
5000124	{'观泉州': -2}
5000125	{'朴槿惠': -2, '韩国': -2}
5000126	{'威少': -1, '湖人': -2}
5000127	{'梁龙': 0, '潘斌龙': 0, '观众': -2, '电影': -2}
5000128	{'唐太宗': -2}
5000129	{'詹姆斯': 0, '球队': -2}
5000130	{'天津一书法协会办事处': -1, '国务院': -2}
5000131	{'厉某': -1, '日照市中心医院': -2, 'B站': -2}
5000132	{'法律': -2}
5000133	{'欧洲': -2, '普京': -2}
5000134	{'朱高炽': 0}
5000135	{'庞坡洞': -2, '庞统': -2}
5000136	{'宁夏': -2}
5000137	{'北京汇源饮料食品集团有限公司': -1, '潼关县': -2}
5000138	{'核酸': -2, '阴性': -2}
5000139	{'阴性': -2, '轨迹': -2}
5000140	{'中国': -2, '经济': -2}
5000141	{'刘涛': 0, '王珂': -2}
5000142	{'美国': -2, '立陶宛': -2, '哈萨克斯坦': -2, '汪文斌': -2}
5000143	{'上饶市': -2}
5000144	{'周杰': 0, '还珠格格': 0}
5000145	{'海淀区': -2}
5000146	{'成都市': -2, '病毒': -2}
5000147	{'张庭': -1}
5000148	{'诺和诺德': -2, '赛诺菲': -2}
5000149	{'福原爱': -2}
5000150	{'中国': -2, '台湾': -2}
5000151	{'怡红院': -2}
5000152	{'何庆魁': -2, '赵本山': 0, '范伟': 0, '高秀敏': 0, '李云启': -2}
5000153	{'吴彦祖': 0}
5000154	{'曾国藩': 0, '翰林院': -2}
5000155	{'天气': -2}
5000156	{'威少': 0, '湖人': 0}
5000157	{'周某': -1, '阿里巴巴': -2}
5000158	{'冯春生': -2, '卓氏集团': -2}
5000159	{'加兰': 0, '詹姆斯': -2, '罚球': -2}
5000160	{'开封': -2}
5000161	{'刘学州': -2}
5000162	{'中国': -2, '海地': -2}
5000163	{'黄某某': -2, '刘勇': -1, '沈某某': -1}
5000164	{'杭州': -2, '南京': -2}
5000165	{'重伤': -2, '洪芳珍': -2}
5000166	{'阿富汗': -2, '塔利班': -2}
5000167	{'张静初': 0, '艺人': -2, '导演': -2}
5000168	{'朱武': -2, '史进': -2}
5000169	{'温州': -2}
5000170	{'张某某': -1}
5000171	{'山西队': 0, '费尔德': 0, '原帅': 0, '广厦队': 0, '邢志强': 0, '葛昭宝': 0, '篮板': -2, '孙铭徽': 0}
5000172	{'直播': -2}
5000173	{'吴京': 0, '票房': -2, '长津湖': 0, '电影': -2, '战狼': 0}
5000174	{'篮网': 0, '公牛': 0, '哈登': -2, '圣诞大战': -2}
5000175	{'河南': -2, '郑州市': -2}
5000176	{'约翰逊': -2, '安德鲁': -2, '英国': -2, '美国': -2}
5000177	{'郑爽': -2, '范冰冰': -2, '税收': -2}
5000178	{'保守党': -2, '约翰逊': -2}
5000179	{'勇士队': 0, '库里': 0, '命中率': -2, '战绩': -2}
5000180	{'曹锟': 0, '黎元洪': 0, '吴佩孚': 0}
5000181	{'陈睿': -2, '电商': -2}
5000182	{'山东': -2, 'GDP': -2}
5000183	{'蒋介石': -2, '唐生智': 0, '南京': -2}
5000184	{'驻马店市': -2, '高考': -2}
5000185	{'美国': -2}
5000186	{'番禺区': -2, '广州': -2}
5000187	{'日本': -2}
5000188	{'洪阿哈阿帕伊岛': -2, '中国': -2}
5000189	{'李荣': -2}
5000190	{'西藏': -2, '萨迦': -2}
5000191	{'核酸检测': -2, '呈贡区': -2}
5000192	{'中国海军': 0, '美国海军': -2, '卡洛斯·德尔·托罗': -2, '中国': -2, '美国': -2, '海军': -2}
5000193	{'沈相奵': -2, '总统': -2}
5000194	{'潼关县': -2}
5000195	{'图兰朵': 0, '关晓彤': 0, '粉丝': -2}
5000196	{'金性勇': 0, '小宇': -2}
5000197	{'证监会': -2, '深圳证券交易所': -2}
5000198	{'胡歌': 0, '刘诗诗': 0, '粉丝': -2}
5000199	{'爱心': -2, '上海': -2}
5000200	{'当地时间': -2, '希腊': -2}
5000201	{'孙权': -2, '空城计': -2}
5000202	{'源代码': 0, '剧情': -2}
5000203	{'萧某春': -1, '朝阳': -2, '北京': -2}
5000204	{'詹姆斯': 0, '教练': -2}
5000205	{'南海区': -2, '佛山市': -2}
5000206	{'湖人': 0, '球队': -2}
5000207	{'延安': -2, '陕西': -2}
5000208	{'彭某': -1, '陈某梅': -2, '佛山': -2}
5000209	{'王某文': -1, '周某': -2, '阿里巴巴': -2}
5000210	{'杨彦仁': -2, '李铭臣': -1, '局长': -2, '海原县交通运输局': -2}
5000211	{'洛阳': 0, '风起洛阳': 0}
5000212	{'吕立军': -1, '刘三芳': -1, '河北': -2}
5000213	{'西双版纳州': -2, '亚洲象': -2, '亚洲': -2}
5000214	{'王芳': -2}
5000215	{'尹成': -2, '李娜': -2}
5000216	{'张涵予': 0, '央视': -2, '傅彪': 0}
5000217	{'杨幂': 0}
5000218	{'资本': -2, '红星资本局': -2}
5000219	{'字节跳动': -2}
5000220	{'王一博': 0, '肖战': 0}
5000221	{'刘信达': -1}
5000222	{'腾讯': -2}
5000223	{'外交': -2, '局势': -2}
5000224	{'白宫': -2}
5000225	{'福州': -2, '吕明': -2}
5000226	{'病例': -2, '地区': -2}
5000227	{'怀柔': -2, '怀柔山区': -2}
5000228	{'波罗申科': -2, '泽连斯基': -2}
5000229	{'孟令某': -1, '孟祥某': -2, '赵县': -2}
5000230	{'业务': -2, '苹果公司': 0}
5000231	{'雪中悍刀行': 0, '剧集': -2}
5000232	{'特斯拉服务中心': -2, '车辆': -2}
5000233	{'汤加': -2, '中国': -2}
5000234	{'叙利亚': -2, '美国': -2}
5000235	{'安东尼': -2}
5000236	{'接口': -2, '新品': -2}
5000237	{'李东宇': 0, '王宏峰': 0, '兰州': -2, '旅客': -2}
5000238	{'血吸虫': -2, '诸葛亮': -2}
5000239	{'玉树机场': -2, '青海省': -2}
5000240	{'姜保宁': 0, '李谦': 0, '曾舜晞': 0, '鞠婧祎': 0, '角色': -2, '演员': -2}
5000241	{'粉丝': -2, '直播': -2}
5000242	{'政治': -2}
5000243	{'伊拉克': -2, '卡迪米': -2}
5000244	{'直播': -2, '南龙': 0}
5000245	{'美国': -1, '李鸿章': -2}
5000246	{'好人': -2}
5000247	{'国家邮政局': -2}
5000248	{'广东': -2}
5000249	{'夏侯镔': 0, '陈大山': 0, '王牌': -2}
5000250	{'郑和': -2}
5000251	{'梦龙': -2, '欧洲': -2}
5000252	{'刑法': -2, '民法典': -2}
5000253	{'锦衣卫': -1, '东厂': -1}
5000254	{'青年医生': 0, '爱上特种兵': 0}
5000255	{'周海媚': 0, '主题曲': -2, '晚会': -2}
5000256	{'中国': -2, '中共中央': -2}
5000257	{'湖人': 0, '得分': -2, '罚球': -2}
5000258	{'开发者': -2, '终端': -2}
5000259	{'宋晓峰': 0, '雷佳音': 0, '赵本山': -2}
5000260	{'美国': -2}
5000261	{'北京市': -2, '通州区': -2}
5000262	{'股东': -2, '董事会': -2}
5000263	{'小龙女': 0, '李若彤': 0}
5000264	{'春秋道': -2, '武则天': -2}
5000265	{'李某': -1, '驾驶员': -2, '交警': -2, '机动车': -2}
5000266	{'陈多尔': -2, '和平区': -2}
5000267	{'关之琳': 0, '刘德华': -2, '马清伟': 0, '绯闻': -2, '陈美琪': 0}
5000268	{'广陵区': -2, '扬州市': -2}
5000269	{'塔利班': -2, '潘杰希尔省': -2}
5000270	{'新时代': -2, '习近平': -2}
5000271	{'原油': -2}
5000272	{'干部': -2, '基层': -2}
5000273	{'林氏集团': -1}
5000274	{'列车': -2, '客流': -2}
5000275	{'邹澜': -2}
5000276	{'森博之': 0, '铁道英雄': 0, '杨枫': -2, '藤原': 0, '中国': -2, '电影': -2}
5000277	{'美国': -2}
5000278	{'周锐': 0, '奕宏': 0}
5000279	{'沉睡花园': 0, '龚俊': 0, '乔欣': 0}
5000280	{'孙悦': 0, '韩国': -2, '专辑': -2}
5000281	{'孙悦': 0, '专辑': -2, '歌手': -2}
5000282	{'李某': -2, '上海': -2, '犯罪嫌疑人': -2}
5000283	{'文件': -2, '网易': -2}
5000284	{'刘晔': 0, '曹操': -2}
5000285	{'美联储': -2, '美国': -2}
5000286	{'学校': -2, '学生': -2}
5000287	{'老陈': -2}
5000288	{'毛先生': -2}
5000289	{'浙江': -2, '义乌': -2}
5000290	{'欧豪': 0, '长津湖': 0, '杨根思': 0, '王成': 0, '电影': -2}
5000291	{'美国': -2, '发言人': -2}
5000292	{'孕妇': -2}
5000293	{'跌幅': -2, '纽约': -2}
5000294	{'景德镇': -2, '施小琳': -2}
5000295	{'加尼': -2, '阿富汗': -2}
5000296	{'北京冬奥会': -2, '场馆': -2}
5000297	{'朱祁镇': -2, '王振': 0}
5000298	{'刘洋': 0, '毛阿敏': -2, '中植集团': -2}
5000299	{'雷霆': 0, '篮网': 0, '哈登': -2, '芝加哥': -2}
5000300	{'张思麟': 0, '白百何': -2, '导演': -2}
5000301	{'陈学冬': 0, '北京': -2}
5000302	{'舞帝利哥': -2, '粉丝': -2}
5000303	{'Angelababy': 0, '礼服': -2}
5000304	{'中国海军第40批护航编队': -2, '新华社': -2}
5000305	{'阴性': -2, '天津': -2}
5000306	{'李保田': 0}
5000307	{'李某': -1, '江宁': -2}
5000308	{'库里': -1, '勇士': 0, '命中率': -2, '纪录': -2}
5000309	{'冯小刚': 0, '导演': -2, '剧组': -2}
5000310	{'耶鲁大学': -2, '日本': -2}
5000311	{'呼伦湖': -2, '岱海': -2}
5000312	{'礼服': -2, '妆容': -2}
5000313	{'海南': -2}
5000314	{'中国': -2, '加拿大': -2}
5000315	{'业务': -2}
5000316	{'庆余年': 0, '网剧': -2, '范闲': 0}
5000317	{'小米': -2, '贺志强': -2}
5000318	{'杨幂': 0, '贾玲': 0, '张含韵': 0}
5000319	{'欧盟': -2, '英国': -2}
5000320	{'哈里': -2, '每日邮报': -2}
5000321	{'朱标': 0, '朱允炆': 0}
5000322	{'长潭西高速': -2}
5000323	{'小王': -2, '深圳': -2, '列车': -2}
5000324	{'汽车': -2, '丰田': -2}
5000325	{'丘索维金娜': 0, '德国': -2, '奥运': -2}
5000326	{'蔡英文': -1}
5000327	{'陈珊': 0, '戏份': -2}
5000328	{'易炼红': -2, '江西省': -2}
5000329	{'刘先生': -2}
5000330	{'塔利班': -2, '阿富汗': -2}
5000331	{'朱珠': 0}
5000332	{'长沙': -2, '张家界': -2}
5000333	{'吴彦霆': -2, '空军司令部': -2}
5000334	{'大衣哥': -2, '陈亚男': -2}
5000335	{'核酸': -2, '阳性': -2}
5000336	{'沈阳': -2}
5000337	{'雄安': -2, '央企': -2}
5000338	{'李白': 0}
5000339	{'王蒙徽': -2}
5000340	{'摩根大通': -2}
5000341	{'李雯雯': 0}
5000342	{'省政协': -2, '主席': -2}
5000343	{'张芳': -2}
5000344	{'山海经': -2}
5000345	{'印度': -2, '印度驻华大使馆': -2}
5000346	{'陈凯琳': 0}
5000347	{'王某': -1, '吴某': -2, '广州': -2, '团伙': -2}
5000348	{'地区': -2, '广西': -2}
5000349	{'人民银行': -2}
5000350	{'索尼': -2, '中国': -2}
5000351	{'张某': -1, '食堂': -2}
5000352	{'周杰': -2}
5000353	{'上野': -1, '东山警察署': -2, '日本': -2}
5000354	{'决赛': -2, '半决赛': -2}
5000355	{'额济纳旗': -2}
5000356	{'肖战': 0}
5000357	{'卫生健康委': -2, '决定': -2}
5000358	{'游戏': -2}
5000359	{'巴西': -2, '苹果': -2}
5000360	{'容祖儿': 0}
5000361	{'梅西': 0, '巴黎': -2, '央视': -2}
5000362	{'约基奇': 0, '杜兰特': 0, '字母哥': 0, '掘金队': 0, '阵容': -2, '赛季': -2}
5000363	{'学生': -2, '南开大学': -2}
5000364	{'中国人民大学行政管理学研究所': -2, '加拿大卡尔顿大学': -2}
5000365	{'货币政策': -2, '金融': -2}
5000366	{'张某': -1, '李某': -2}
